Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
3,9700,1158,1.6,0.4,74.9,3.2,39,-39,0.7,-1,-51,46
3,9800,1152,1.6,0.4,74.7,3.2,39,-39,0.7,-1,-52,46
3,9900,1146,1.6,0.4,74.5,3.2,39,-39,1,-0.7,-53,47
3,10000,1139,1.6,0.4,74.3,3.2,39,-39,0.7,-1,-53,47
3,10100,1133,1.8,0.4,74.1,3.1,40,-39,0.7,-1,-53,48
3,10200,1126,1.8,0.4,73.9,3.1,40,-39,1,-0.8,-54,49
3,10300,1119,1.9,0.4,73.7,3,40,-39,0.8,-0.8,-55,49
3,10400,1112,1.9,0.4,73.4,3,40,-39,1.2,-0.8,-55,50
3,10500,1105,2.1,0.4,73.2,3,40,-39,0.8,-1.1,-55,50
3,10600,1098,1.9,0.4,72.9,2.9,40,-39,1.1,-0.8,-56,50
3,10700,1091,2.1,0.4,72.7,2.9,40,-39,1.1,-1.1,-56,51
3,10800,1084,2.1,0.4,72.4,2.8,40,-39,1.1,-0.8,-57,51
3,10900,1077,2.3,0.4,72.1,2.8,40,-39,0.8,-1.1,-58,51
3,11000,1069,2.4,0.4,71.9,2.8,40,-39,1.2,-1.1,-58,52
3,11100,1061,2.4,0.4,71.6,2.7,39,-39,0.8,-0.8,-59,52
3,11200,1053,2.6,0.4,71.3,2.7,39,-39,0.9,-1.2,-59,53
3,11300,1045,2.5,0.4,71,2.7,39,-39,1.1,-0.9,-60,53
3,11400,1037,2.7,0.4,70.7,2.6,40,-39,1.2,-0.9,-60,54
3,11500,1029,2.8,0.4,70.3,2.6,39,-39,1.2,-0.9,-60,54
3,11600,1020,2.9,0.5,70,2.6,39,-39,0.9,-0.9,-61,55
3,11700,1011,3.2,0.5,69.6,2.5,39,-39,0.9,-0.9,-61,55
3,11800,1002,3.4,0.5,69.2,2.5,39,-39,0.9,-1.3,-62,56
3,11900,993,3.7,0.5,68.9,2.4,39,-39,0.9,-1.3,-62,56
3,12000,983,3.7,0.5,68.5,2.4,39,-39,0.9,-0.9,-63,56
3,12100,973,3.8,0.5,68,2.4,39,-39,1,-0.8,-63,56
3,12200,963,4,0.5,67.6,2.3,39,-39,1,-1.3,-64,57
3,12300,952,4.1,0.5,67.1,2.3,39,-39,1.1,-0.9,-64,57
3,12400,941,4.4,0.5,66.6,2.3,39,-38,1,-1,-64,57
3,12500,930,4.9,0.6,66.1,2.2,38,-38,1,-1,-65,58
3,12600,917,5,0.6,65.6,2.2,38,-38,1.1,-1,-65,58
3,12700,904,5.7,0.6,65,2.1,38,-38,1,-1,-66,58
3,12800,891,6.5,0.7,64.3,2.1,38,-38,1.1,-1.1,-66,59
3,12900,876,7.3,0.7,63.6,2.1,38,-38,1.1,-1.1,-66,59
3,13000,860,7.7,0.7,62.8,2,37,-37,1.1,-1.1,-66,59
3,13100,842,8.6,0.8,62,2,37,-37,1.1,-1.1,-66,60
3,13200,821,10.8,0.9,60.9,1.9,37,-37,1,-1.2,-67,60
3,13300,797,13.4,1.1,59.7,1.8,36,-36,1.2,-1.2,-67,60
3,13400,764,20.3,1.5,57.9,1.8,35,-35,1.2,-1.2,-67,60
