Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m,,,
4,9720,706,-57,-2.3,45.3,1.4,22,-23,0.7,-1.2,-38,34,,9900,9720
5,2320,61,0,0,5.7,0.2,2,-0.7,1.4,0,-1.2,2.5,,2500,2320
5,2720,72,0,0,6.6,0.2,2.2,-0.9,1.3,0,-3,4.2,,2900,2720
5,2920,78,-33.1,0,7.2,0.2,2.4,-1,1.3,0,-3.2,4.4,,3100,2920
5,3020,81,-32,0,7.4,0.2,1.1,-2.4,0,-1.3,-4.6,3.2,,3200,3020
5,3320,89,-29.3,0,8.2,0.2,1.3,-2.6,0,-1.3,-4.9,3.5,,3500,3320
5,3520,95,-27.9,0,8.7,0.3,1.5,-2.7,0,-1.3,-6.4,5,,3700,3520
5,3720,101,0,0,9.3,0.3,2.9,-1.6,1.3,0,-5.4,6.5,,3900,3720
5,3820,104,-25.7,0,9.5,0.3,3,-1.7,1.3,0,-5.6,6.6,,4000,3820
5,3920,107,-25.1,0,9.8,0.3,3.1,-1.8,1.3,0,-5.7,6.7,,4100,3920
5,4120,114,0,0,10.4,0.3,3.2,-2,1.3,0,-6,7,,4300,4120
5,4220,117,-23.6,0,10.6,0.3,2.1,-3.3,0,-1.2,-7.3,5.9,,4400,4220
5,4320,120,-23.1,-0.1,10.9,0.3,3.4,-2.2,1.2,0,-7.5,7.3,,4500,4320
5,4420,123,-22.3,0,11.2,0.3,3.5,-2.3,1.2,0,-7.6,8.6,,4600,4420
5,4520,127,-21.9,0,11.5,0.3,2.4,-3.6,0,-1.2,-9,7.5,,4700,4520
5,4620,130,-21.8,0,11.8,0.3,2.5,-3.7,0,-1.2,-9.1,7.6,,4800,4620
5,4720,134,-21.2,0,12.1,0.4,3.8,-2.6,1.2,0,-8.1,9,,4900,4720
5,4820,137,-20.8,0,12.3,0.4,2.7,-3.9,0,-1.2,-9.4,7.9,,5000,4820
5,4920,140,-20.4,0,12.6,0.4,2.9,-4,0,-1.2,-11,9.2,,5100,4920
5,5020,144,-20,0,12.9,0.4,3,-4.1,0,-1.2,-11,9.4,,5200,5020
5,5120,148,-19.8,-0.1,13.2,0.4,3.1,-4.2,0,-1.2,-11,9.5,,5300,5120
5,5220,151,-19.3,-0.1,13.5,0.4,4.4,-3.2,1.2,0,-10,11,,5400,5220
5,5320,155,-19,-0.1,13.8,0.4,4.5,-4.4,1.2,0,-10,11,,5500,5320
5,5420,158,-18.8,0,14.1,0.4,4.6,-4.5,0,-1.2,-13,10,,5600,5420
5,5520,162,-18.3,0,14.4,0.4,4.7,-4.7,0,-1.2,-13,11,,5700,5520
5,5620,166,-18.2,-0.1,14.8,0.4,5.9,-4.8,1.2,-0.1,-12,13,,5800,5620
5,5720,169,-17.7,0,15,0.4,5,-6,0.1,-1.2,-13,12,,5900,5720
5,5820,173,-17.4,0,15.4,0.4,5.1,-6.1,0.1,-1.1,-13,12,,6000,5820
5,5920,177,-17.1,0,15.7,0.5,5.2,-6.3,0.1,-1.1,-15,13,,6100,5920
5,6020,181,-17.1,-0.1,16,0.5,6.4,-5.3,1.1,-0.1,-14,14,,6200,6020
5,6120,185,-16.8,0,16.3,0.5,5.5,-6.5,0.1,-1.1,-15,13,,6300,6120
5,6220,189,-16.8,-0.1,16.7,0.5,5.7,-6.7,0.1,-1.1,-15,13,,6400,6220
5,6320,193,-16.3,-0.1,17,0.5,6.9,-5.7,1.1,-0.1,-15,15,,6500,6320
5,6420,197,-16.1,0,17.3,0.5,5.9,-6.9,0.1,-1.1,-17,15,,6600,6420
5,6520,201,-15.8,0,17.7,0.5,7.1,-6,1.1,-0.1,-16,16,,6700,6520
5,6620,205,-15.6,0,18,0.5,6.3,-7.2,0.1,-1.1,-17,15,,6800,6620
5,6720,210,-15.6,-0.1,18.3,0.5,7.4,-6.3,1.1,-0.1,-17,16,,6900,6720
5,6820,214,-15.4,-0.1,18.7,0.5,7.6,-6.5,1.1,-0.1,-17,18,,7000,6820
5,6920,218,-15.2,-0.1,19,0.5,7.8,-6.7,1.1,-0.1,-17,18,,7100,6920
5,7020,223,-15,-0.1,19.4,0.6,6.9,-7.8,0.1,-1.1,-19,17,,7200,7020
5,7120,227,-15,-0.1,19.7,0.6,8.1,-8,0.1,-1.1,-20,18,,7300,7120
5,7220,232,-14.6,-0.1,20.1,0.6,8.2,-8.2,1.1,-0.1,-19,19,,7400,7220
5,7320,236,-14.7,-0.1,20.5,0.6,8.4,-8.4,1.1,-0.1,-20,19,,7500,7320
5,7420,241,-14.5,-0.1,20.8,0.6,9.6,-8.5,1.1,-0.1,-20,20,,7600,7420
5,7520,246,-14.3,-0.1,21.2,0.6,9.7,-8.7,1.1,-0.1,-21,21,,7700,7520
5,7620,251,-14.2,-0.1,21.6,0.6,9.9,-8.9,1.1,-0.1,-22,21,,7800,7620
5,7720,255,-14,-0.1,21.9,0.6,9.1,-10,1,-1,-23,20,,7900,7720
5,7820,260,-14.1,-0.1,22.3,0.6,10,-9.2,1,-1,-22,22,,8000,7820
5,7920,265,-13.5,-0.1,22.7,0.6,10,-9.4,1,-0.1,-23,22,,8100,7920
5,8020,270,-13.7,-0.1,23.1,0.7,9.7,-11,1,-1,-25,22,,8200,8020
5,8120,276,-13.6,-0.1,23.5,0.7,9.9,-11,1,-1,-25,23,,8300,8120
5,8220,281,-13.2,-0.1,23.8,0.7,10,-11,1,-1,-26,23,,8400,8220
5,8320,287,-13.3,-0.1,24.3,0.7,11,-10,1,-1,-25,24,,8500,8320
5,8420,292,-13.4,-0.1,24.7,0.7,11,-11,1,-1.9,-26,24,,8600,8420
5,8520,297,-13.1,-0.1,25.1,0.7,11,-12,1,-1.9,-27,24,,8700,8520
5,8620,303,-13.4,-0.1,25.5,0.7,12,-12,1.9,-1,-27,26,,8800,8620
5,8720,309,-13,-0.1,25.9,0.7,12,-13,1,-1.9,-29,26,,8900,8720
5,8820,315,-13,-0.1,26.4,0.7,13,-12,1.9,-1,-28,27,,9000,8820
5,8920,321,-12.8,-0.1,26.8,0.8,13,-12,1.8,-1,-29,28,,9100,8920
5,9020,327,-12.9,-0.1,27.3,0.8,14,-13,1.8,-1,-29,28,,9200,9020
5,9120,333,-12.8,-0.1,27.7,0.8,14,-13,1.8,-1,-30,29,,9300,9120
5,9220,339,-12.7,-0.1,28.2,0.8,13,-14,1,-1.8,-32,28,,9400,9220
5,9320,346,-12.4,-0.1,28.6,0.8,14,-13,1.8,-1,-32,30,,9500,9320
5,9420,353,-13,-0.2,29.1,0.8,14,-14,1,-1.8,-33,29,,9600,9420
5,9520,359,-12.7,-0.2,29.6,0.8,15,-14,1.8,-1,-33,31,,9700,9520
5,9620,366,-12.7,-0.1,30.1,0.9,15,-15,0.9,-1.8,-34,31,,9800,9620
5,9720,374,-12.4,-0.2,30.6,0.9,16,-15,1.7,-0.9,-34,32,,9900,9720
5,9820,381,-12.8,-0.2,31.1,0.9,16,-16,0.9,-1.7,-35,32,,10000,9820
5,9920,389,-12.7,-0.2,31.7,0.9,16,-17,0.9,-1.7,-36,33,,10100,9920
5,10020,396,-12.7,-0.2,32.2,0.9,16,-17,0.9,-1.7,-37,34,,10200,10020
5,10120,404,-12.8,-0.2,32.7,0.9,16,-17,0.9,-1.7,-37,34,,10300,10120
5,10220,412,-13,-0.2,33.3,0.9,17,-17,0.9,-1.7,-38,35,,10400,10220
5,10320,421,-12.7,-0.2,33.9,1,17,-18,0.9,-1.7,-39,36,,10500,10320
5,10420,430,-13.1,-0.2,34.5,1,18,-18,1.6,-0.9,-39,36,,10600,10420
5,10520,439,-13,-0.2,35.1,1,19,-18,1.6,-0.9,-40,37,,10700,10520
5,10620,448,-13.2,-0.2,35.7,1,19,-19,0.9,-1.6,-41,38,,10800,10620
5,10720,458,-13.1,-0.2,36.4,1,19,-20,0.9,-1.6,-42,38,,10900,10720
5,10820,469,-13.4,-0.3,37.1,1.1,20,-19,1.6,-0.9,-42,39,,11000,10820
5,10920,479,-13.3,-0.2,37.8,1.1,20,-21,0.9,-1.6,-43,39,,11100,10920
5,11020,491,-14.3,-0.3,38.5,1.1,21,-21,1.6,-0.9,-44,41,,11200,11020
5,11120,504,-14.8,-0.4,39.3,1.1,22,-21,1.5,-0.9,-44,42,,11300,11120
5,11220,516,-15,-0.4,40.1,1.1,23,-22,1.5,-0.9,-45,42,,11400,11220
5,11320,531,-15.5,-0.4,41,1.2,22,-23,0.8,-1.5,-47,43,,11500,11320
5,11420,546,-16.4,-0.5,42,1.2,23,-23,0.8,-1.5,-48,43,,11600,11420
5,11520,564,-18,-0.6,43.1,1.2,24,-24,1.5,-0.8,-48,45,,11700,11520
5,11620,583,-19.8,-0.6,44.2,1.3,25,-25,0.8,-1.4,-50,45,,11800,11620
5,11720,607,-22.8,-0.8,45.6,1.3,26,-25,1.4,-0.8,-50,46,,11900,11720
5,11820,636,-27.1,-1.1,47.3,1.4,27,-27,1.4,-0.8,-52,47,,12000,11820
6,2020,40,0,0,4.3,0.1,2.1,-0.4,1.6,0,-0.9,2.5,,2200,2020
6,2220,44,0,0,4.7,0.1,0.5,-2.1,0,-1.6,-2.7,1.1,,2400,2220
6,2620,52,0,0,5.5,0.2,0.7,-2.3,0,-1.6,-3.1,1.5,,2800,2620
6,2720,54,0,0,5.8,0.2,2.3,-0.8,1.6,0,-3.2,3.1,,2900,2720
6,3020,60,0,0,6.4,0.2,2.5,-0.9,1.5,0,-3.5,4.9,,3200,3020
6,3120,63,0,0,6.6,0.2,2.5,-1,1.5,0,-3.6,5,,3300,3120
6,3220,65,0,0,6.9,0.2,2.6,-1.1,1.5,0,-3.7,5.1,,3400,3220
6,3320,67,-29.3,0,7.1,0.2,1.1,-2.6,0,-1.5,-5.3,3.7,,3500,3320
6,3620,74,0,0,7.8,0.2,2.8,-1.3,1.5,0,-4.2,5.5,,3800,3620
6,3720,76,-26.3,0,8,0.2,2.9,-1.4,1.5,0,-4.3,5.7,,3900,3720
6,3820,78,0,0,8.2,0.2,2.9,-1.5,1.5,0,-5.9,7.2,,4000,3820
6,4120,85,-23.9,0,9,0.3,1.7,-3.1,0,-1.4,-7.8,6.1,,4300,4120
6,4220,88,-23.3,0,9.2,0.3,3.2,-1.8,1.4,0,-6.5,7.7,,4400,4220
6,4320,90,-22.9,0,9.4,0.3,3.3,-1.9,1.4,0,-6.6,7.8,,4500,4320
6,4420,93,-22.3,0,9.7,0.3,3.4,-2,1.4,0,-6.8,7.9,,4600,4420
6,4520,95,-22,0,9.9,0.3,2.1,-3.4,0,-1.4,-8.3,6.7,,4700,4520
6,4720,100,0,0,10.4,0.3,3.6,-2.2,1.4,0,-8.6,9.7,,4900,4720
6,4820,103,-20.7,0,10.7,0.3,3.7,-2.3,1.4,0,-8.8,9.8,,5000,4820
6,4920,105,-20.1,0,10.9,0.3,3.8,-2.4,1.4,0,-8.9,10,,5100,4920
6,5020,108,-19.8,0,11.2,0.3,3.9,-2.5,1.4,0,-9.1,10,,5200,5020
6,5120,110,0,0,11.4,0.3,2.7,-4,0,-1.4,-11,8.9,,5300,5120
6,5220,113,-19.2,-0.1,11.7,0.3,4.1,-2.7,1.4,0,-11,10,,5400,5220
6,5320,116,-18.9,-0.1,11.9,0.3,4.2,-2.8,1.4,0,-11,12,,5500,5320
6,5420,118,-18.4,0,12.2,0.4,4.3,-2.9,1.3,0,-11,12,,5600,5420
6,5520,121,-18,0,12.5,0.4,4.4,-3.1,1.3,0,-11,12,,5700,5520
6,5620,124,-17.9,0,12.7,0.4,3.2,-4.5,0.1,-1.3,-13,11,,5800,5620
6,5720,126,-17.6,0,13,0.4,3.3,-4.6,0.1,-1.3,-13,11,,5900,5720
6,5820,129,-17.3,0,13.2,0.4,3.5,-4.7,0.1,-1.3,-14,11,,6000,5820
6,5920,132,-17,0,13.5,0.4,3.6,-4.8,0.1,-1.3,-15,13,,6100,5920
6,6020,135,-16.8,0,13.8,0.4,5,-4.9,1.3,-0.1,-13,14,,6200,6020
6,6120,138,-16.6,-0.1,14.1,0.4,5.1,-5,1.3,-0.1,-14,14,,6300,6120
6,6220,141,-16.3,0,14.3,0.4,5.2,-5.1,0.1,-1.3,-15,13,,6400,6220
6,6320,144,-16.2,-0.1,14.6,0.4,6.5,-5.3,1.3,-0.1,-15,15,,6500,6320
6,6420,147,-15.8,0,14.9,0.4,5.4,-6.6,0.1,-1.3,-17,15,,6600,6420
6,6520,150,-15.6,-0.1,15.2,0.4,6.8,-5.5,1.3,-0.1,-16,16,,6700,6520
6,6620,153,-15.4,-0.1,15.5,0.4,6.9,-5.6,1.3,-0.1,-16,16,,6800,6620
6,6720,156,-15.1,0,15.7,0.5,7,-5.8,1.3,-0.1,-16,16,,6900,6720
6,6820,159,-15.1,0,16,0.5,7.1,-5.9,1.3,-0.1,-17,17,,7000,6820
6,6920,162,-14.7,0,16.3,0.5,7.3,-6,1.3,-0.1,-18,18,,7100,6920
6,7020,165,-14.5,0,16.6,0.5,6.2,-7.4,0.1,-1.2,-19,17,,7200,7020
6,7120,168,-14.3,0,16.9,0.5,6.4,-7.5,0.1,-1.2,-19,17,,7300,7120
6,7220,172,-14.3,-0.1,17.2,0.5,7.7,-6.5,1.2,-0.1,-19,19,,7400,7220
6,7320,175,-14.2,-0.1,17.5,0.5,7.8,-6.6,1.2,-0.1,-20,20,,7500,7320
6,7420,178,-14,0,17.8,0.5,6.8,-7.9,0.1,-1.2,-21,19,,7600,7420
6,7520,181,-13.8,-0.1,18.1,0.5,8.1,-6.9,1.2,-0.1,-21,20,,7700,7520
6,7620,185,-13.7,-0.1,18.4,0.5,8.2,-7.1,1.2,-0.1,-21,20,,7800,7620
6,7720,188,-13.3,0,18.7,0.5,8.4,-7.2,1.2,-0.1,-22,22,,7900,7720
6,7820,192,-13.3,0,19,0.5,7.4,-8.5,0.1,-1.2,-23,21,,8000,7820
6,7920,195,-13.2,-0.1,19.4,0.5,8.7,-7.5,1.2,-0.1,-23,22,,8100,7920
6,8020,199,-13,0,19.7,0.6,7.8,-8.8,0.1,-1.2,-24,22,,8200,8020
6,8120,202,-12.9,0,20,0.6,9,-9,1.2,-0.1,-24,23,,8300,8120
6,8220,206,-12.7,0,20.3,0.6,9.2,-9.1,1.2,-0.1,-25,24,,8400,8220
6,8320,210,-12.7,0,20.6,0.6,9.3,-10,0.1,-1.2,-26,24,,8500,8320
6,8420,213,-12.6,-0.1,21,0.6,9.5,-11,0.1,-1.2,-26,24,,8600,8420
6,8520,217,-12.3,0,21.3,0.6,9.7,-11,0.1,-1.2,-28,24,,8700,8520
6,8620,221,-12.4,-0.1,21.6,0.6,11,-9.8,1.2,-0.1,-27,25,,8800,8620
6,8720,225,-12.2,-0.1,22,0.6,10,-11,0.1,-1.2,-28,26,,8900,8720
6,8820,229,-12.1,-0.1,22.3,0.6,10,-11,0.1,-1.2,-29,26,,9000,8820
6,8920,233,-12,-0.1,22.7,0.6,11,-10,1.1,-1.1,-29,27,,9100,8920
6,9020,237,-12.1,-0.1,23,0.6,11,-12,0.1,-1.1,-30,27,,9200,9020
6,9120,241,-11.9,-0.1,23.3,0.7,11,-12,1.1,-1.1,-31,27,,9300,9120
6,9220,245,-11.6,-0.1,23.7,0.7,12,-11,1.1,-1.1,-30,29,,9400,9220
6,9320,249,-11.7,-0.1,24.1,0.7,11,-12,1.1,-1.1,-31,29,,9500,9320
6,9420,254,-11.6,-0.1,24.4,0.7,11,-12,1.1,-1.1,-33,29,,9600,9420
6,9520,258,-11.5,-0.1,24.8,0.7,13,-12,1.1,-1.1,-32,31,,9700,9520
6,9620,262,-11.6,-0.1,25.2,0.7,13,-12,1.1,-1.1,-33,31,,9800,9620
6,9720,267,-11.3,-0.1,25.6,0.7,13,-12,2.1,-1.1,-33,31,,9900,9720
6,9820,271,-11.4,-0.1,25.9,0.7,13,-13,2.1,-1.1,-35,33,,10000,9820
6,9920,276,-11.1,-0.1,26.3,0.7,14,-13,2,-1.1,-35,33,,10100,9920
6,10020,281,-11,-0.1,26.7,0.7,15,-14,2,-1.1,-36,34,,10200,10020
6,10120,285,-11.1,-0.1,27.1,0.8,15,-14,2,-1.1,-36,34,,10300,10120
6,10220,290,-11,-0.1,27.5,0.8,15,-14,2,-1.1,-36,34,,10400,10220
6,10320,295,-10.8,-0.1,27.9,0.8,15,-14,2,-1.1,-38,35,,10500,10320
6,10420,300,-10.9,-0.1,28.3,0.8,15,-14,2,-1.1,-38,36,,10600,10420
6,10520,305,-10.8,-0.1,28.7,0.8,15,-16,1.1,-2,-40,36,,10700,10520
6,10620,310,-10.9,-0.1,29.1,0.8,15,-16,1.1,-2,-40,36,,10800,10620
6,10720,316,-10.8,-0.1,29.6,0.8,16,-15,1.9,-1.1,-40,38,,10900,10720
6,10820,321,-10.7,-0.1,30,0.8,16,-16,1.1,-1.9,-41,37,,11000,10820
6,10920,326,-10.4,-0.1,30.4,0.8,16,-17,1,-1.9,-43,38,,11100,10920
6,11020,332,-10.6,-0.1,30.9,0.9,17,-17,1,-1.9,-43,39,,11200,11020
6,11120,338,-10.5,-0.1,31.3,0.9,17,-18,1,-1.9,-44,40,,11300,11120
6,11220,344,-10.4,-0.1,31.8,0.9,17,-18,1,-1.9,-45,41,,11400,11220
6,11320,350,-10.6,-0.1,32.3,0.9,18,-18,1,-1.9,-45,41,,11500,11320
6,11420,356,-10.5,-0.1,32.7,0.9,18,-19,1,-1.9,-46,42,,11600,11420
6,11520,362,-10.7,-0.2,33.3,0.9,19,-18,1.8,-1,-47,43,,11700,11520
6,11620,368,-10.6,-0.1,33.7,0.9,19,-19,1,-1.8,-48,43,,11800,11620
6,11720,375,-10.5,-0.1,34.3,0.9,20,-19,1.8,-1,-48,44,,11900,11720
6,11820,382,-10.7,-0.2,34.8,1,20,-19,1.8,-1,-49,45,,12000,11820
6,11920,389,-10.4,-0.1,35.3,1,20,-21,1,-1.8,-50,45,,12100,11920
6,12020,396,-10.8,-0.2,35.8,1,21,-21,1.8,-1,-50,46,,12200,12020
6,12120,403,-10.8,-0.2,36.4,1,22,-21,1.8,-1,-51,47,,12300,12120
6,12220,411,-10.9,-0.2,36.9,1,21,-22,1,-1.8,-52,47,,12400,12220
6,12320,419,-11.1,-0.2,37.5,1,22,-22,1.7,-1,-52,49,,12500,12320
6,12420,427,-11.1,-0.2,38.1,1.1,23,-22,1.7,-1,-53,49,,12600,12420
6,12520,435,-11.5,-0.2,38.7,1.1,22,-23,1,-1.7,-55,49,,12700,12520
6,12620,444,-11.4,-0.2,39.4,1.1,23,-23,1,-1.7,-56,50,,12800,12620
6,12720,453,-11.4,-0.2,40,1.1,25,-24,1.7,-1,-56,52,,12900,12720
6,12820,463,-11.8,-0.3,40.7,1.1,24,-25,0.9,-1.7,-58,52,,13000,12820
6,12920,472,-11.8,-0.3,41.4,1.2,25,-25,0.9,-1.6,-59,53,,13100,12920
6,13020,483,-12.5,-0.3,42.2,1.2,26,-25,1.6,-0.9,-59,53,,13200,13020
6,13120,494,-12.2,-0.3,42.9,1.2,25,-26,0.9,-1.6,-61,54,,13300,13120
6,13220,506,-12.5,-0.3,43.7,1.2,26,-27,0.9,-1.6,-61,55,,13400,13220
6,13320,519,-13.4,-0.4,44.6,1.2,27,-28,0.9,-1.6,-62,56,,13500,13320
6,13420,532,-13.7,-0.4,45.5,1.3,28,-28,0.9,-1.6,-64,56,,13600,13420
6,13520,548,-15,-0.5,46.6,1.3,29,-28,1.5,-0.9,-64,58,,13700,13520
6,13620,565,-16,-0.6,47.7,1.3,30,-30,1.5,-0.9,-65,59,,13800,13620
6,13720,585,-18.2,-0.7,49,1.4,30,-31,0.9,-1.5,-67,60,,13900,13720
6,13820,610,-20.9,-0.9,50.6,1.4,31,-32,0.9,-1.4,-68,61,,14000,13820
6,13920,647,-29.9,-1.4,52.9,1.5,34,-33,1.4,-0.8,-69,63,,14100,13920
